meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,mean_f0,min_f0,max_f0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
4168.540920801656,0.041951675,-0.004119873,-0.018341064,0.013710022,0.032051086,0.19831206,4.2177515,4567.966833092234,0.0076378887,0,4168.540920801656,0.034627706,0.003823668,0.10892693,8497.891865079366,3679.6875,15562.5,11882.8125,0.47943267044811194,114.38529229236156,86.30425076864258,140.20166900511882,-347.4096,99.55295,-8.431786,35.771282,2.9929554,13.36506,-21.423859,20.793436,-9.65155,-0.54256845,2.0747142,4.419655,-7.877144,'Male'
3720.553490029651,0.026697308,-0.0037384033,-0.014785767,0.0061035156,0.020889282,0.20244625,2.9309,4786.482802264518,0.0061943643,0,3720.553490029651,0.02291784,0.0022966417,0.05513676,8506.138392857143,3585.9375,15679.6875,12093.75,0.4324275058295832,109.17308234159535,90.38593460443693,134.6458897635121,-372.33786,111.21534,-2.3059103,34.638573,10.030447,13.517296,-18.716736,17.538837,-5.305826,3.4986231,-5.981181,6.8767014,-5.2414517,'Male'
4350.384563189383,0.030334098,-0.002243042,-0.012039185,0.0064697266,0.018508911,-0.08623862,27.55896,5168.495333875576,0.008029629,0,4350.384563189383,0.021736747,0.001763229,0.13011797,10065.179869186046,656.25,16007.8125,15351.5625,0.3670209682228275,99.83165464466322,85.80717486147108,121.34967043801211,-396.73383,89.10811,14.423752,39.631996,12.070136,15.976954,-10.095881,17.77212,-0.5303446,2.4190483,-1.0953025,3.0730705,-1.4336392,'Female'
5522.652557047558,0.030181566,-0.0027770996,-0.006591797,0.0005950928,0.0071868896,0.3039474,10.862833,5641.428419195096,0.015523373,0,5522.652557047558,0.019019743,0.0012310998,0.10602341,12012.120712401056,2320.3125,16429.6875,14109.375,0.36387173737318873,387.894299588378,94.6606580968763,1514.5705295500206,-422.60413,70.90409,10.710292,33.703342,10.555255,17.392838,-13.155245,13.167698,0.043060463,12.459112,-8.451197,-0.18537359,2.7747781,'Female'
1932.3577761951447,0.0779878,-0.0028381348,-0.017959595,0.0049438477,0.022903442,0.7875436,7.722108,2955.718781856444,0.00050329085,0,1932.3577761951447,0.05310721,0.002234508,0.20421308,3830.8020104895104,539.0625,10968.75,10429.6875,0.5634938952387412,71.03747037840014,65.40639132514966,81.93226047174862,-369.76285,143.68471,3.4619703,22.00478,9.446448,18.78712,-2.199435,-2.8551247,-0.14926387,0.37520033,-1.5531884,0.90157247,1.065513,'Male'
1124.1139787170257,0.08300159,-0.0033111572,-0.027786255,0.016082764,0.04386902,0.6464193,5.1086826,2192.4094208068327,0.00011179984,0,1124.1139787170257,0.06239183,0.0011408511,0.21071267,1903.1004581151833,562.5,6515.625,5953.125,0.5728676026184729,81.28399568871346,65.40639132514966,116.54094037952247,-375.5659,174.16351,22.51416,30.09653,18.3574,8.410435,-1.70327,1.1028364,7.726472,7.23846,-3.0460658,-5.129463,1.3605877,'Male'
4519.844919817392,0.040003113,-0.0027313232,-0.016281128,0.009094238,0.025375366,0.39586502,2.477176,5015.885006022118,0.009415294,0,4519.844919817392,0.031764362,0.0017692483,0.088508986,9584.142287234043,2695.3125,16710.9375,14015.625,0.4690071745127702,92.13036714859969,70.91536696417685,108.1102658399776,-390.7913,89.18489,12.610786,42.18913,8.210872,14.417221,-10.014751,22.120834,-3.5756104,-2.0844343,3.6305108,-0.1296292,-18.73989,'Female'
4531.734347884669,0.06548694,-0.0027923584,-0.009567261,0.0026245117,0.012191772,0.6484173,4.944733,5045.4049468745625,0.011750055,0,4531.734347884669,0.04472552,0.0016317569,0.16891576,9856.297906839623,890.625,16570.3125,15679.6875,0.5832680126456439,373.98936196186816,80.5247132770094,1908.2392917304958,-373.0627,102.876785,3.545019,23.89182,12.280946,4.257191,-14.122022,14.809264,-7.7125626,-4.361878,1.9976128,2.643402,-14.355689,'Female'
1151.807383863513,0.023533171,0.00036621094,-0.011077881,0.0115356445,0.022613525,-0.27617082,3.3746758,1455.3329091407777,5.3959582e-05,0,1151.807383863513,0.020447806,0.005676008,0.05657394,2264.34375,1242.1875,5718.75,4476.5625,0.3447416205547202,83.36202516383324,65.40639132514966,115.86971395503193,-407.69827,226.76122,-19.824152,5.8277044,19.994835,-8.35923,0.47357386,-10.781891,-1.9696819,9.11652,-13.584256,-0.9005027,10.644734,'Female'
1181.4417811404032,0.032531682,0.00061035156,-0.017211914,0.017974854,0.035186768,-0.13780162,1.5551453,1331.4309911072176,2.863362e-05,0,1181.4417811404032,0.02965297,0.009048644,0.071018614,2252.6041666666665,1265.625,4851.5625,3585.9375,0.2620745366029556,85.21869534778347,65.40639132514966,117.21605517913326,-371.86472,233.0169,-30.153448,-2.7685459,23.389719,-5.2765822,-1.2570158,-10.609751,-1.6488522,6.827831,-14.05978,-1.5714711,6.663254,'Female'
